# x_m,y_m,w_tr_right_m,w_tr_left_m
23.626611,-489.401309,1.494,1.943
18.636952,-489.524170,1.592,1.871
13.635726,-489.567169,1.690,1.799
8.626745,-489.515580,1.791,1.707
3.616713,-489.355702,1.905,1.545
-1.387655,-489.073840,1.987,1.419
-6.379646,-488.656298,1.833,1.555
-11.352545,-488.089378,1.681,1.685
-16.299639,-487.359387,1.536,1.799
-21.214299,-486.455141,1.463,1.853
-26.090210,-485.374739,1.576,1.755
-30.921130,-484.118421,1.582,1.768
-35.700815,-482.686423,1.522,1.848
-40.423024,-481.078986,1.498,1.905
-45.081514,-479.296347,1.487,1.948
-49.670044,-477.338752,1.568,1.879
-54.182501,-475.207651,1.658,1.797
-58.613044,-472.906981,1.765,1.683
-62.955864,-470.440990,1.830,1.597
-67.205151,-467.813926,1.720,1.624
-71.355097,-465.030037,1.629,1.657
-75.399894,-462.093570,1.584,1.703
-79.333732,-459.008773,1.692,1.591
-83.150802,-455.779894,1.790,1.495
-86.845296,-452.411181,1.700,1.618
-90.411405,-448.906882,1.501,1.828
-93.843320,-445.271244,1.212,2.105
-97.135232,-441.508515,1.502,1.728
-100.281332,-437.622943,1.692,1.503
-103.276256,-433.619225,1.728,1.508
-106.116287,-429.503720,1.668,1.614
-108.798092,-425.283176,1.513,1.820
-111.318336,-420.964340,1.574,1.784
-113.673685,-416.553957,1.674,1.702
-115.860805,-412.058774,1.708,1.695
-117.876362,-407.485538,1.717,1.717
-119.717022,-402.840995,1.673,1.745
-121.379450,-398.131892,1.621,1.775
-122.860313,-393.364976,1.599,1.922
-124.156277,-388.546993,1.577,2.032
-125.264006,-383.684690,1.597,2.061
-126.180169,-378.784813,1.804,1.887
-126.901541,-373.854095,1.655,1.719
-127.428676,-368.898797,1.516,1.593
-127.766739,-363.924608,1.611,1.602
-127.921173,-358.937177,1.759,1.548
-127.897419,-353.942159,1.812,1.530
-127.700923,-348.945204,1.747,1.569
-127.337126,-343.951966,1.658,1.569
-126.811472,-338.968095,1.573,1.609
-126.129405,-333.999244,1.504,1.716
-125.296367,-329.051065,1.458,1.741
-124.317801,-324.129210,1.449,1.630
-123.199151,-319.239331,1.425,1.558
-121.945861,-314.387080,1.321,1.705
-120.563372,-309.578109,1.473,1.754
-119.058509,-304.816715,1.680,1.769
-117.447588,-300.097872,1.829,1.771
-115.750915,-295.412637,1.896,1.761
-113.988811,-290.752052,1.861,1.736
-112.181595,-286.107159,1.826,1.711
-110.349589,-281.469002,1.791,1.686
-108.513113,-276.828622,1.777,1.683
-106.688459,-272.178978,1.764,1.680
-104.876827,-267.520207,1.750,1.677
-103.075877,-262.854130,1.737,1.675
-101.283269,-258.182568,1.724,1.672
-99.496665,-253.507342,1.711,1.669
-97.713725,-248.830270,1.697,1.667
-95.932114,-244.153172,1.684,1.664
-94.150161,-239.477307,1.671,1.662
-92.367593,-234.802761,1.658,1.659
-90.584313,-230.129473,1.645,1.656
-88.800227,-225.457379,1.631,1.654
-87.015237,-220.786419,1.618,1.651
-85.229248,-216.116530,1.605,1.648
-83.442165,-211.447649,1.592,1.646
-81.653892,-206.779715,1.578,1.643
-79.864331,-202.112665,1.565,1.640
-78.073389,-197.446438,1.552,1.638
-76.280968,-192.780971,1.539,1.635
-74.486973,-188.116201,1.526,1.632
-72.691308,-183.452068,1.512,1.630
-70.893901,-178.788517,1.499,1.627
-69.094771,-174.125528,1.486,1.624
-67.293958,-169.463089,1.473,1.622
-65.491502,-164.801187,1.459,1.619
-63.687444,-160.139812,1.446,1.617
-61.881823,-155.478949,1.433,1.614
-60.074681,-150.818588,1.420,1.611
-58.266057,-146.158715,1.407,1.609
-56.455991,-141.499319,1.393,1.606
-54.644524,-136.840387,1.380,1.603
-52.831697,-132.181907,1.367,1.601
-51.017548,-127.523866,1.392,1.625
-49.202119,-122.866254,1.417,1.649
-47.385450,-118.209056,1.443,1.672
-45.567581,-113.552261,1.468,1.696
-43.748552,-108.895857,1.493,1.720
-41.928403,-104.239831,1.518,1.744
-40.107175,-99.584172,1.544,1.768
-38.284908,-94.928866,1.569,1.792
-36.461642,-90.273902,1.594,1.816
-34.637418,-85.619267,1.619,1.840
-32.812275,-80.964950,1.645,1.864
-30.986254,-76.310937,1.670,1.888
-29.159396,-71.657217,1.695,1.912
-27.331740,-67.003778,1.720,1.936
-25.503326,-62.350606,1.746,1.960
-23.674195,-57.697691,1.771,1.984
-21.844388,-53.045019,1.796,2.008
-20.013943,-48.392578,1.821,2.032
-18.182903,-43.740356,1.847,2.055
-16.351306,-39.088341,1.872,2.079
-14.519193,-34.436521,1.897,2.103
-12.686605,-29.784883,1.923,2.127
-10.853581,-25.133415,1.948,2.151
-9.020162,-20.482105,1.973,2.175
-7.186388,-15.830941,1.998,2.199
-5.352300,-11.179909,2.024,2.223
-3.517937,-6.528999,2.049,2.247
