# x_m,y_m,w_tr_right_m,w_tr_left_m
19.439269,-24.181707,1.222,1.435
17.789594,-28.976489,1.444,1.545
16.842948,-33.977887,1.564,1.573
16.579252,-39.007227,1.818,1.705
16.975636,-43.977492,2.060,1.754
18.008569,-48.823586,2.137,1.584
19.654514,-53.480415,1.896,1.452
21.889938,-57.882883,1.802,1.511
24.691308,-61.965894,1.744,1.612
28.034938,-65.664418,1.670,1.685
31.872160,-68.924115,1.762,1.498
36.101648,-71.713185,1.797,1.469
40.615402,-74.002680,1.672,1.788
45.309127,-75.747824,1.864,1.612
50.128975,-76.688113,2.130,1.321
55.040283,-76.579563,1.952,1.341
59.946477,-75.810565,1.752,1.290
64.789826,-74.708054,1.543,1.150
69.577538,-73.344400,1.460,1.132
74.320695,-71.776786,1.424,1.159
79.030380,-70.062396,1.388,1.186
83.717677,-68.258412,1.352,1.213
88.393668,-66.422017,1.316,1.240
93.068996,-64.607786,1.280,1.268
97.748404,-62.835178,1.244,1.295
102.432408,-61.098522,1.208,1.322
107.121432,-59.391600,1.172,1.349
111.815902,-57.708192,1.136,1.377
116.516242,-56.042081,1.100,1.404
121.222878,-54.387047,1.064,1.431
125.936245,-52.737906,1.028,1.458
130.656867,-51.096499,0.992,1.485
135.385298,-49.467589,0.956,1.513
140.122098,-47.855949,1.007,1.456
144.867821,-46.266353,1.087,1.372
149.623025,-44.703573,1.167,1.288
154.388268,-43.172382,1.247,1.203
159.164104,-41.677554,1.298,1.120
163.951092,-40.223862,1.334,1.036
168.749789,-38.816079,1.370,0.953
173.560750,-37.458978,1.405,0.869
178.384534,-36.157332,1.254,1.031
183.221696,-34.915914,1.064,1.244
188.072792,-33.739486,0.874,1.456
192.938144,-32.630868,0.876,1.512
197.817589,-31.588837,0.951,1.510
202.710900,-30.611665,1.026,1.507
207.617853,-29.697620,1.115,1.497
212.538223,-28.844975,1.216,1.481
217.471784,-28.052000,1.345,1.438
222.418294,-27.317078,1.570,1.297
227.376885,-26.642445,1.794,1.157
232.345927,-26.035039,1.806,1.423
237.323747,-25.502088,1.795,1.733
242.308667,-25.050816,1.804,1.968
247.299013,-24.688449,1.870,1.985
252.293109,-24.422213,1.936,2.003
257.289037,-24.259478,1.961,2.020
262.283974,-24.208158,1.971,2.038
267.274885,-24.276290,1.800,2.101
272.258736,-24.471913,1.628,2.164
277.232491,-24.803068,1.505,2.156
282.193116,-25.277793,1.486,2.000
287.137588,-25.904062,1.466,1.845
292.064716,-26.679188,1.474,1.579
296.977157,-27.578124,1.488,1.286
301.878054,-28.573005,1.503,0.993
306.770548,-29.635967,1.404,0.982
311.657780,-30.739145,1.285,1.017
316.542892,-31.854674,1.167,1.051
321.428992,-32.955036,1.096,1.095
326.318026,-34.024611,1.133,1.158
331.210506,-35.062414,1.169,1.222
336.106862,-36.068357,1.205,1.286
341.007518,-37.042351,1.225,1.300
345.912902,-37.984309,1.219,1.240
350.823442,-38.894142,1.214,1.181
355.739563,-39.771763,1.209,1.121
360.661693,-40.617082,1.204,1.062
365.590258,-41.430014,1.198,1.003
370.525686,-42.210468,1.181,0.995
375.468403,-42.958358,1.141,1.092
380.418836,-43.673594,1.100,1.190
385.377412,-44.356090,1.194,1.121
390.344264,-45.001791,1.371,0.948
395.317475,-45.579028,1.443,0.916
400.294259,-46.044395,1.418,1.015
405.271826,-46.354443,1.385,1.118
410.247385,-46.465723,1.282,1.258
415.218148,-46.334784,1.178,1.398
420.181323,-45.918177,1.224,1.298
425.133987,-45.197781,1.323,1.108
430.072713,-44.251288,1.344,1.070
434.993954,-43.179046,1.316,1.125
439.894009,-42.078959,1.281,1.177
444.763823,-40.963691,1.231,1.223
449.587719,-39.740469,1.201,1.249
454.349640,-38.310236,1.266,1.175
459.038639,-36.617037,1.326,1.089
463.654604,-34.696295,1.371,0.972
468.198805,-32.595092,1.383,0.886
472.673103,-30.359601,0.976,1.184
477.087549,-28.023365,0.990,1.182
481.458197,-25.610672,1.119,1.098
485.800998,-23.145258,1.249,1.014
490.123304,-20.638911,1.379,0.930
494.421825,-18.088632,1.371,0.952
498.692612,-15.490497,1.249,1.062
502.931711,-12.840586,1.126,1.173
507.135172,-10.134977,1.004,1.283
511.299044,-7.369750,1.089,1.144
515.423163,-4.546296,1.176,1.003
519.521744,-1.686182,1.263,0.862
523.612415,1.184239,1.166,0.903
527.712803,4.038614,0.966,1.047
531.840536,6.850589,0.819,1.161
536.013241,9.593812,0.869,1.167
540.248511,12.241964,1.004,1.106
544.557752,14.774904,1.127,1.031
548.939186,17.185655,1.102,1.026
553.389343,19.468929,1.048,1.004
557.904756,21.619437,0.997,1.001
562.481955,23.631891,0.949,1.032
567.117471,25.501002,0.951,1.119
571.807805,27.221672,0.978,1.235
576.548384,28.795486,1.095,1.320
581.333297,30.232374,1.258,1.389
586.156546,31.542788,1.369,1.434
591.012137,32.737181,1.398,1.439
595.894073,33.826004,1.428,1.443
600.796359,34.819711,1.342,1.407
605.713335,35.726460,1.185,1.346
610.644123,36.522011,1.027,1.284
615.591378,37.158137,1.053,1.379
620.557840,37.586044,1.089,1.483
625.544317,37.776802,1.175,1.408
630.544207,37.777603,1.261,1.331
635.549133,37.653867,1.305,1.272
640.551532,37.465775,1.266,1.246
645.549590,37.236469,1.228,1.220
650.543968,36.973127,1.189,1.195
655.535339,36.682867,1.151,1.169
660.524373,36.372805,1.113,1.143
665.511744,36.050057,1.205,1.209
670.498122,35.721741,1.298,1.277
675.484179,35.394973,1.392,1.344
680.470588,35.076869,1.485,1.411
685.458019,34.774546,1.578,1.478
690.447146,34.495121,1.672,1.545
695.438639,34.245711,1.765,1.612
700.433170,34.033432,1.859,1.679
705.431408,33.865362,1.912,1.711
710.433423,33.741608,1.827,1.620
715.437997,33.647216,1.743,1.530
720.443740,33.565270,1.658,1.439
725.449265,33.478855,1.574,1.348
730.453184,33.371056,1.489,1.258
735.454108,33.224956,1.405,1.167
740.450587,33.023502,1.286,1.211
745.438840,32.744590,1.134,1.392
750.412147,32.359732,0.981,1.572
755.363599,31.840032,0.878,1.650
760.286286,31.156595,0.899,1.616
765.173300,30.280525,1.058,1.459
770.017731,29.182924,1.231,1.252
774.811717,27.841028,1.260,1.180
779.543702,26.255866,1.236,1.158
784.201230,24.434244,1.119,1.268
788.771846,22.382966,1.080,1.251
793.243097,20.108838,1.203,0.975
797.602526,17.618665,1.216,1.021
801.837680,14.919252,1.222,1.103
805.936103,12.017403,1.226,1.225
809.885342,8.919924,1.235,1.237
813.672940,5.633620,1.249,1.191
817.286445,2.165295,1.283,1.160
820.713399,-1.478244,1.332,1.094
823.941350,-5.290194,1.351,1.032
826.957948,-9.263686,0.868,1.384
829.754717,-13.389548,0.924,1.341
832.328095,-17.655687,1.092,1.272
834.674835,-22.049819,1.085,1.457
836.791692,-26.559662,1.044,1.341
838.675419,-31.172934,0.951,1.294
840.322770,-35.877353,0.873,1.297
841.730499,-40.660635,0.942,1.140
842.895359,-45.510499,1.032,1.063
843.814104,-50.414663,1.113,1.038
844.483488,-55.360842,1.079,1.147
844.900265,-60.336757,1.221,1.148
845.061188,-65.330123,1.272,1.158
844.963011,-70.328658,1.222,1.184
844.603481,-75.319993,1.123,1.224
843.987444,-80.291123,1.229,1.096
843.122839,-85.228773,1.214,1.084
842.017620,-90.119662,1.126,1.175
840.679739,-94.950513,1.017,1.390
839.117149,-99.708047,1.070,1.387
837.337803,-104.378985,1.045,1.431
835.352725,-108.954255,1.002,1.435
833.184895,-113.441146,0.951,1.377
830.860195,-117.850926,0.900,1.319
828.404511,-122.194866,0.849,1.261
825.843726,-126.484231,0.798,1.204
823.203724,-130.730292,0.811,1.173
820.510358,-134.944303,0.852,1.154
817.783350,-139.135229,0.894,1.135
815.029104,-143.307047,0.935,1.115
812.252270,-147.463082,0.976,1.096
809.457503,-151.606658,1.018,1.077
806.649452,-155.741097,1.043,1.067
803.832772,-159.869725,1.035,1.073
801.012113,-163.995864,1.028,1.078
798.192128,-168.122838,1.021,1.084
795.377469,-172.253972,1.014,1.090
792.572788,-176.392589,1.006,1.096
